version,n_words,training_size_percent,lambda,fold,training_documents,vocabulary_size,testing_documents,number_spam,number_ham,correct,accuracy,TP,TN,FP,FN,spam_precision,spam_recall,weighted_accuracy,TCR
stop,all,30,99,9,783,26175,289,48,241,283,0.9792387543252595,42,241,0,6,1.0,0.875,0.9997490274814907,8.0
stop,all,30,1,10,783,25929,291,49,242,288,0.9896907216494846,46,242,0,3,1.0,0.9387755102040817,0.9896907216494846,16.333333333333332
stop,all,30,9,10,783,25929,291,49,242,288,0.9896907216494846,46,242,0,3,1.0,0.9387755102040817,0.998652896273013,16.333333333333332
stop,all,30,99,10,783,25929,291,49,242,288,0.9896907216494846,46,242,0,3,1.0,0.9387755102040817,0.9998750364477027,16.333333333333332
stop,all,40,1,1,1044,32347,289,48,241,286,0.9896193771626297,47,239,2,1,0.9591836734693877,0.9791666666666666,0.9896193771626297,16.0
stop,all,40,9,1,1044,32347,289,48,241,287,0.9930795847750865,47,240,1,1,0.9791666666666666,0.9791666666666666,0.995489400090212,4.8
stop,all,40,99,1,1044,32347,289,48,241,287,0.9930795847750865,47,240,1,1,0.9791666666666666,0.9791666666666666,0.995817124691513,0.48
stop,all,40,1,2,1044,32346,289,48,241,285,0.986159169550173,48,237,4,0,0.9230769230769231,1.0,0.986159169550173,12.0
stop,all,40,9,2,1044,32346,289,48,241,286,0.9896193771626297,48,238,3,0,0.9411764705882353,1.0,0.9878213802435724,1.7777777777777777
stop,all,40,99,2,1044,32346,289,48,241,286,0.9896193771626297,48,238,3,0,0.9411764705882353,1.0,0.9875768603337934,0.16161616161616163
stop,all,40,1,3,1044,32120,289,48,241,285,0.986159169550173,48,237,4,0,0.9230769230769231,1.0,0.986159169550173,12.0
stop,all,40,9,3,1044,32120,289,48,241,286,0.9896193771626297,48,238,3,0,0.9411764705882353,1.0,0.9878213802435724,1.7777777777777777
stop,all,40,99,3,1044,32120,289,48,241,284,0.9826989619377162,46,238,3,2,0.9387755102040817,0.9583333333333334,0.9874932028276238,0.1605351170568562
stop,all,40,1,4,1044,32054,289,48,241,287,0.9930795847750865,48,239,2,0,0.96,1.0,0.9930795847750865,24.0
stop,all,40,9,4,1044,32054,289,48,241,287,0.9930795847750865,48,239,2,0,0.96,1.0,0.9918809201623816,2.6666666666666665
stop,all,40,99,4,1044,32054,289,48,241,287,0.9930795847750865,48,239,2,0,0.96,1.0,0.9917179068891956,0.24242424242424243
stop,all,40,1,5,1044,31907,290,48,242,290,1.0,48,242,0,0,1.0,1.0,1.0,inf
stop,all,40,9,5,1044,31907,290,48,242,290,1.0,48,242,0,0,1.0,1.0,1.0,inf
stop,all,40,99,5,1044,31907,290,48,242,288,0.993103448275862,46,242,0,2,1.0,0.9583333333333334,0.999916687494793,24.0
stop,all,40,1,6,1044,32232,289,48,241,289,1.0,48,241,0,0,1.0,1.0,1.0,inf
stop,all,40,9,6,1044,32232,289,48,241,289,1.0,48,241,0,0,1.0,1.0,1.0,inf
stop,all,40,99,6,1044,32232,289,48,241,289,1.0,48,241,0,0,1.0,1.0,1.0,inf
stop,all,40,1,7,1044,32593,289,48,241,288,0.9965397923875432,47,241,0,1,1.0,0.9791666666666666,0.9965397923875432,48.0
stop,all,40,9,7,1044,32593,289,48,241,288,0.9965397923875432,47,241,0,1,1.0,0.9791666666666666,0.9995489400090212,48.0
stop,all,40,99,7,1044,32593,289,48,241,288,0.9965397923875432,47,241,0,1,1.0,0.9791666666666666,0.9999581712469151,48.0
stop,all,40,1,8,1044,32127,289,48,241,286,0.9896193771626297,48,238,3,0,0.9411764705882353,1.0,0.9896193771626297,16.0
stop,all,40,9,8,1044,32127,289,48,241,286,0.9896193771626297,48,238,3,0,0.9411764705882353,1.0,0.9878213802435724,1.7777777777777777
stop,all,40,99,8,1044,32127,289,48,241,285,0.986159169550173,47,238,3,1,0.94,0.9791666666666666,0.9875350315807085,0.1610738255033557
stop,all,40,1,9,1044,32265,289,48,241,282,0.9757785467128027,42,240,1,6,0.9767441860465116,0.875,0.9757785467128027,6.857142857142857
stop,all,40,9,9,1044,32265,289,48,241,282,0.9757785467128027,42,240,1,6,0.9767441860465116,0.875,0.993234100135318,3.2
stop,all,40,99,9,1044,32265,289,48,241,282,0.9757785467128027,42,240,1,6,0.9767441860465116,0.875,0.9956079809260886,0.45714285714285713
stop,all,40,1,10,1044,31431,291,49,242,288,0.9896907216494846,46,242,0,3,1.0,0.9387755102040817,0.9896907216494846,16.333333333333332
stop,all,40,9,10,1044,31431,291,49,242,288,0.9896907216494846,46,242,0,3,1.0,0.9387755102040817,0.998652896273013,16.333333333333332
stop,all,40,99,10,1044,31431,291,49,242,288,0.9896907216494846,46,242,0,3,1.0,0.9387755102040817,0.9998750364477027,16.333333333333332
